kinase	substrate	marker	q	gps	biogrid	fasolo	parca	fiedler	EMAP	yeastkid	netphorest	networkin	networkin STRING	networkin_biogrid	activation	binding	catalysis	expression	inhibition	ptmod	reaction	undirected	ptacek	n_datasets	goldstandard1	goldstandard2	goldstandard3	goldstandard4
YAR018C	YNL099C	0.00937223241576688	0.258084075340508	0.000195							0.227738	2.4432	0.3553	0.1406										4				
YAR018C	YNL154C	0.0268687559485844	0.0191151090140538	0.000221							0.154719	0.6028	0.1713	0.2416										4				
YAR018C	YNL161W	0.0307751848780453	0.00872866924633565	0.000214							0.182568	0.735	0.264	0.6383										4				
YAR018C	YNL183C	0.0229780900809779	0.0386186064336403	0.000210							0.177764	0.6623	0.1811	0.6467										4				
YAR018C	YNL201C	0	0.481425639536617	0.000225							0.203739	1.2213	0.1873											3				
YAR018C	YNL207W	-0.0247550013147286	0.0283956337220605	0.000189							0.157089	0.6376	0.2308	0.5458								239		5				
YAR018C	YNL222W	-0.0435303294541397	0.000341986014999673	0.000189							0.140844	0.5395	0.1679	0.4853										4				
YAR018C	YNL289W	0.0272716141904687	0.0177019363783841	0.000223							0.154553	0.6022	0.1559	0.0804										4				
YAR018C	YNL298W	-0.0158615645761716	0.114146339985818	0.000218							0.159295	0.7549	0.3058	0.5526										4				
YAR018C	YNL307C	-0.0276194353658234	0.0165645659770409	0.000173							0.157447	0.6132	0.1659	0.5211								522		5				
YAR018C	YNR031C	0.00838500261505064	0.283918872800163	0.000217						0.179598	0.216455	1.9271	0.273	0.6502										5				
YAR018C	YNR047W	0.0101630206250246	0.237629495498849	0.000262							0.185982	0.7647	0.0941	0.5272										4				
YAR018C	YOL001W	0.0117177056764112	0.198674582306004	0.000216							0.115331	0.901	0.451	0.6549										4				
YAR018C	YOL016C	0.0232568919443206	0.0368014992139237	0.000221							0.138748	0.5382	0.1146	0.4746								206		5				
YAR018C	YOL045W	-0.0149255096795947	0.129354293862429	0.000201							0.208291	1.4295	0.1392	0.4568								159		5				
YAR018C	YOL100W	0.0351410335457675	0.0032708817790724	0.000223							0.182211	0.6657	0.1497	0.6657										4				
YAR018C	YOL113W	-0.00900367641734244	0.267703937265721	0.000213							0.206343	1.629	0.2978	0.4646										4				
YAR018C	YOL128C	-0.0155884374244411	0.118399243304707	0.000193							0.162642	0.6331	0.1382	0.5972								306		5				
YAR018C	YOR014W	-0.0171837444574148	0.0951611065723854	0.000244							0.191633	0.9439	0.177	0.5338								428		5				
YAR018C	YOR039W	-0.0299643511800321	0.0103502284510335	0.000243							0.141339	0.5398	0.1467	0.3762										4				
YAR018C	YOR043W	-0.0258621578744525	0.0232037306603952	0.000233							0.164379	0.6397	0.197	0.538										4				
YAR018C	YOR061W	0	0.481425639536617	0.000165							0.118176	0.5249	0.1419									396		4				
YAR018C	YOR090C	0	0.481425639536617	0.000214							0.136296	0.5366	0.0882											3				
YAR018C	YOR119C	-0.0311195824164184	0.00811067753240435	0.000228							0.211236	1.5467	0.1757	0.5267										4				
YAR018C	YOR208W	0.0187550291679314	0.0757161167759328	0.000212							0.158717	0.752	0.3042	0.1433										4				
YAR018C	YOR231W	0.0130927438293032	0.166350921516475	0.000212							0.150398	0.6508	0.2939	0.6493								386		5				
YAR018C	YOR233W	-0.0244499686421977	0.0299409021725711	0.000207							0.168819	0.8288	0.3819	0.676								211		5				
YAR018C	YOR267C	-0.00572559169345265	0.352966802708075	0.000225							0.213013	1.6541	0.1692	0.6252										4				
YAR018C	YOR351C	0	0.481425639536617	0.000198							0.127321	0.5308	0.1472									343		4				
YAR018C	YOR367W	-0.0238945993790678	0.0329765950397391	0.000165							0.155267	0.6049	0.118	0.1123										4				
YAR018C	YPL026C	0	0.481425639536617	0.000205							0.212353	1.6129	0.1171									221		4				
YAR018C	YPL031C	0	0.481425639536617	0.000196							0.106287	0.5125	0.2137									413		4				
YAR018C	YPL042C	-0.0218267668496384	0.0467827721021082	0.000190						0.179598	0.145395	0.7005	0.386	0.4248								180		6				
YAR018C	YPL063W	0	0.481425639536617	0.000207							0.188531	0.8681	0.1334											3				
YAR018C	YPL109C	0	0.481425639536617	0.000210							0.189365	0.9003	0.2197											3				
YAR018C	YPL140C	0.0100371234547842	0.240864380148481	0.000197							0.179452	0.7227	0.2627	0.1262								389		5				
YAR018C	YPL141C	0.0103837778253775	0.231981022864293	0.000206							0.182641	0.6758	0.1226	0.5178								195		5				
YAR018C	YPL150W	0.0146648170255893	0.133870900008637	0.000229							0.173081	0.6588	0.1059	0.6571										4				
YAR018C	YPL153C	0.0319795542081374	0.00676676521907231	0.000202							0.160469	0.7578	0.2998	0.7578										4				
YAR018C	YPL179W	-0.042106098558055	0.000515960172916854	0.000209							0.161149	0.6274	0.1342	0.4858										4				
YAR018C	YPL203W	0.0232032152441119	0.0371366046542658	0.000206							0.188176	1.0071	0.288	0.6125								199		5				
YAR018C	YPL204W	-0.0370806513643765	0.00203587816246718	0.000222							0.131567	0.5335	0.177	0.3024										4				
YAR018C	YPL209C	-0.0373228515685668	0.00191766509482126	0.000213						-0.217601	0.170296	5.1761	0.821	4.2546								580		6	0	0		
YAR018C	YPL236C	0	0.481425639536617	0.000214							0.161139	0.6273	0.1017											3				
YAR018C	YPL256C	0.00701781589760545	0.31971822708898	0.000199							0.175958	0.661	0.1599	0.5347										4				
YAR018C	YPR025C	-0.0466338746925263	0.000129473742498876	0.000213							0.146676	0.586	0.2556	0.3415										4				
