P	Target	activation	binding	catalysis	expression	inhibition	ptmod	reaction	P_gene	Target_gene
YBR160W	YPL075W			307		307		307	CDC28	GCR1
YBR160W	YPL075W			153				153	CDC28	GCR1
YBR160W	YPL075W						509		CDC28	GCR1
YBR160W	YPL075W						333		CDC28	GCR1
YBR160W	YPL075W			909					CDC28	GCR1
YBR160W	YPL075W			916					CDC28	GCR1
YBR160W	YPL075W			203					CDC28	GCR1
YBR160W	YPL075W			165				913	CDC28	GCR1
YBR160W	YPL075W			220			499	220	CDC28	GCR1
YBR160W	YPL075W			931					CDC28	GCR1
YBR160W	YPL075W			901					CDC28	GCR1
YBR160W	YPL075W			239					CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W	244		927					CDC28	GCR1
YBR160W	YPL075W			158			219		CDC28	GCR1
YBR160W	YPL075W			951			463	536	CDC28	GCR1
YBR160W	YPL075W			151			620		CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			183					CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W			901					CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W							198	CDC28	GCR1
YBR160W	YPL075W			536					CDC28	GCR1
YBR160W	YPL075W			169				169	CDC28	GCR1
YBR160W	YPL075W			424					CDC28	GCR1
YBR160W	YPL075W						800		CDC28	GCR1
YBR160W	YPL075W						465		CDC28	GCR1
YBR160W	YPL075W			428				428	CDC28	GCR1
YBR160W	YPL075W			158					CDC28	GCR1
YBR160W	YPL075W			343				343	CDC28	GCR1
YBR160W	YPL075W			917					CDC28	GCR1
YBR160W	YPL075W						498		CDC28	GCR1
YBR160W	YPL075W			220					CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W			912					CDC28	GCR1
YBR160W	YPL075W			703		457	173	463	CDC28	GCR1
YBR160W	YPL075W			907					CDC28	GCR1
YBR160W	YPL075W			901					CDC28	GCR1
YBR160W	YPL075W			290					CDC28	GCR1
YBR160W	YPL075W			150				150	CDC28	GCR1
YBR160W	YPL075W	158							CDC28	GCR1
YBR160W	YPL075W			460		457	173	463	CDC28	GCR1
YBR160W	YPL075W						426		CDC28	GCR1
YBR160W	YPL075W			940				434	CDC28	GCR1
YBR160W	YPL075W			183					CDC28	GCR1
YBR160W	YPL075W			297		297		297	CDC28	GCR1
YBR160W	YPL075W			915					CDC28	GCR1
YBR160W	YPL075W			934			298	934	CDC28	GCR1
YBR160W	YPL075W			926				926	CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			460			600	463	CDC28	GCR1
YBR160W	YPL075W			309			229		CDC28	GCR1
YBR160W	YPL075W	918		220					CDC28	GCR1
YBR160W	YPL075W			304		304		304	CDC28	GCR1
YBR160W	YPL075W			923					CDC28	GCR1
YBR160W	YPL075W					284			CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			925					CDC28	GCR1
YBR160W	YPL075W			250					CDC28	GCR1
YBR160W	YPL075W			201				201	CDC28	GCR1
YBR160W	YPL075W						658		CDC28	GCR1
YBR160W	YPL075W			416		416		416	CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W			908					CDC28	GCR1
YBR160W	YPL075W			925					CDC28	GCR1
YBR160W	YPL075W						466		CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W			345					CDC28	GCR1
YBR160W	YPL075W			515					CDC28	GCR1
YBR160W	YPL075W							307	CDC28	GCR1
YBR160W	YPL075W	917							CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W			900					CDC28	GCR1
YBR160W	YPL075W			264					CDC28	GCR1
YBR160W	YPL075W			460			360	463	CDC28	GCR1
YBR160W	YPL075W			582				583	CDC28	GCR1
YBR160W	YPL075W			446					CDC28	GCR1
YBR160W	YPL075W						471		CDC28	GCR1
YBR160W	YPL075W						453		CDC28	GCR1
YBR160W	YPL075W			923					CDC28	GCR1
YBR160W	YPL075W			252				252	CDC28	GCR1
YBR160W	YPL075W			955			770.5		CDC28	GCR1
YBR160W	YPL075W			955			406	577	CDC28	GCR1
YBR160W	YPL075W	238							CDC28	GCR1
YBR160W	YPL075W			193		193		193	CDC28	GCR1
YBR160W	YPL075W	915							CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W			284					CDC28	GCR1
YBR160W	YPL075W			151					CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W			901					CDC28	GCR1
YBR160W	YPL075W			250					CDC28	GCR1
YBR160W	YPL075W			252				252	CDC28	GCR1
YBR160W	YPL075W			150				150	CDC28	GCR1
YBR160W	YPL075W			307				307	CDC28	GCR1
YBR160W	YPL075W			307				307	CDC28	GCR1
YBR160W	YPL075W							901	CDC28	GCR1
YBR160W	YPL075W			268				268	CDC28	GCR1
YBR160W	YPL075W							910	CDC28	GCR1
YBR160W	YPL075W			311				311	CDC28	GCR1
YBR160W	YPL075W						426		CDC28	GCR1
YBR160W	YPL075W			487					CDC28	GCR1
YBR160W	YPL075W							537	CDC28	GCR1
YBR160W	YPL075W			313					CDC28	GCR1
YBR160W	YPL075W			256		256		256	CDC28	GCR1
YBR160W	YPL075W						418		CDC28	GCR1
YBR160W	YPL075W						426		CDC28	GCR1
YBR160W	YPL075W							907	CDC28	GCR1
YBR160W	YPL075W			934			298	934	CDC28	GCR1
YBR160W	YPL075W			260				260	CDC28	GCR1
YBR160W	YPL075W						487		CDC28	GCR1
YBR160W	YPL075W	179		179					CDC28	GCR1
YBR160W	YPL075W			955				579	CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W						466		CDC28	GCR1
YBR160W	YPL075W			307			151	307	CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W			239					CDC28	GCR1
YBR160W	YPL075W				401				CDC28	GCR1
YBR160W	YPL075W			412			151	412	CDC28	GCR1
YBR160W	YPL075W			221				221	CDC28	GCR1
YBR160W	YPL075W			901					CDC28	GCR1
YBR160W	YPL075W			221				221	CDC28	GCR1
YBR160W	YPL075W			762				569	CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W			955			491.5		CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W			939					CDC28	GCR1
YBR160W	YPL075W			456				456	CDC28	GCR1
YBR160W	YPL075W							311	CDC28	GCR1
YBR160W	YPL075W			294				294	CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			264					CDC28	GCR1
YBR160W	YPL075W			928					CDC28	GCR1
YBR160W	YPL075W			345			464		CDC28	GCR1
YBR160W	YPL075W	918							CDC28	GCR1
YBR160W	YPL075W						426		CDC28	GCR1
YBR160W	YPL075W			201				201	CDC28	GCR1
YBR160W	YPL075W			185		185		185	CDC28	GCR1
YBR160W	YPL075W			153				153	CDC28	GCR1
YBR160W	YPL075W			179					CDC28	GCR1
YBR160W	YPL075W			916				198	CDC28	GCR1
YBR160W	YPL075W	914							CDC28	GCR1
YBR160W	YPL075W							155	CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W							269	CDC28	GCR1
YBR160W	YPL075W			244				244	CDC28	GCR1
YBR160W	YPL075W			940					CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			224					CDC28	GCR1
YBR160W	YPL075W			163				163	CDC28	GCR1
YBR160W	YPL075W			173		173		173	CDC28	GCR1
YBR160W	YPL075W			307					CDC28	GCR1
YBR160W	YPL075W			551				551	CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W						401		CDC28	GCR1
YBR160W	YPL075W						562		CDC28	GCR1
YBR160W	YPL075W						567		CDC28	GCR1
YBR160W	YPL075W			916					CDC28	GCR1
YBR160W	YPL075W			220			198	220	CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W			235					CDC28	GCR1
YBR160W	YPL075W			916					CDC28	GCR1
YBR160W	YPL075W			925					CDC28	GCR1
YBR160W	YPL075W			248				248	CDC28	GCR1
YBR160W	YPL075W			279		279		279	CDC28	GCR1
YBR160W	YPL075W	907							CDC28	GCR1
YBR160W	YPL075W			902					CDC28	GCR1
YBR160W	YPL075W						451		CDC28	GCR1
YBR160W	YPL075W			268				268	CDC28	GCR1
YBR160W	YPL075W					282			CDC28	GCR1
YBR160W	YPL075W						465		CDC28	GCR1
YBR160W	YPL075W			235					CDC28	GCR1
YBR160W	YPL075W						450		CDC28	GCR1
YBR160W	YPL075W			234					CDC28	GCR1
YBR160W	YPL075W	175							CDC28	GCR1
YBR160W	YPL075W			239					CDC28	GCR1
YBR160W	YPL075W			252				252	CDC28	GCR1
