KP	KP2	Target
KIN2		YBL024W
KIN2		YJR044C
KIN2		YPL106C
KIN2		YKR090W
KIN2		YNL186W
KIN2		YBR169C
KIN2		YIL172C
KIN28		YOL012C
KIN28		YER064C
KIN28		YPR013C
KIN28		YDL166C
KIN28		YAL020C
KIN28		YBR024W
KIN28		YPR050C
KIN28		YOR272W
KIN28		YAL034W-A
KIN3		YHR185C
KIN3		YDR007W
KIN3		YAR019C
KIN3		YNL186W
KIN3		YDL153C
KIN3		YPR067W
KIN4		YNL272C
KIN4		YDR264C
KIN4		YDR179C
KIN4		YBR162C
KIN4		YMR165C
KIN4		YMR229C
KIN4		YDR002W
KIN4		YOR392W
KIN4		YBR109C
KIN4		YMR068W
KIN4		YML096W
KIN4		YDL153C
KIN4		YGR276C
KIN4		YDR023W
KIN4		YAR019C
KIN4		YBL011W
KIN4		YML037C
KIN4		YML083C
KIN4		YBR086C
KIN82		YPR063C
KIN82		YDR007W
KIN82		YLL034C
KIN82		YML037C
KIN82		YMR184W
KIN82		YBR285W
KIN82		YAR019C
KIN82		YJL089W
KIN82		YJL198W
KIN82		YPR160W
KIN82		YHR082C
KIN82		YML083C
KIN82		YPR119W
KIN82		YDL153C
KIN82		YHR056C
KIN82		YNL045W
KIN82		YML096W
KIN82		YMR165C
KIN82		YAL028W
KIN82		YDL038C
KIN82		YGL245W
KIN82		YGR276C
KIN82		YDL006W
KIN82		YOL104C
KIN82		YNL155W
KIN82		YDL002C
KIN82		YIL135C
KIN82		YDL192W
KNS1		YMR102C
KNS1		YOL016C
KNS1		YAR019C
KNS1		YLR044C
KNS1		YGL180W
KSP1		YBL030C
KSP1		YER064C
KSP1		YHR030C
KSP1		YMR295C
KSP1		YOR362C
KSP1		YPL244C
KSP1		YCR099C
KSP1		YGR094W
KSP1		YBR265W
KSP1		YDR170W-A
KSP1		YBR200W
KSP1		YNL155W
KSP1		YOR123C
KSP1		YDL025C
KSP1		YKL168C
KSP1		YBL067C
KSP1		YMR165C
KSP1		YBR273C
KSP1		YPR131C
KSP1		YPL041C
KSP1		YKL197C
KSP1		YPL048W
KSP1		YNL293W
KSP1		YNR006W
KSP1		YKL146W
KSP1		YGR038C-A
KSP1		YNL272C
KSP1		YOR210W
KSP1		YGL245W
KSP1		YOR196C
KSP1		YOR211C
KSP1		YDL113C
KSP1		YMR260C
KSP1		YDL033C
KSP1		YPL150W
KSP1		YML083C
KSP1		YOL091W
KSP1		YDL019C
KSP1		YDL149W
KSP1		YBL024W
KSP1		YBL010C
KSP1		YMR239C
KSP1		YDL004W
KSP1		YMR021C
KSP1		YDR188W
KSP1		YOR335C
KSP1		YPL217C
KSP1		YBL061C
KSP1		YAL039C
KSP1		YCR073W-A
KSP1		YFR009W
KSP1		YKR070W
KSP1		YDL027C
KSP1		YBR086C
KSP1		YMR290C
KSP1		YNL186W
KSP1		YOR307C
KSP1		YBR151W
