KP_reg	p.value	estimate	sign	KP
YLR260W	1.56733859479002e-13	0.0115503346541683	1	YAL009W
YLR361C	6.73386396388409e-13	0.0110315455717697	1	YAL009W
YLR362W	1.40787678333582e-14	0.010697683783864	1	YAL009W
YLR433C	7.70947454111829e-13	0.00918437572829456	1	YAL009W
YML016C	9.97406792689733e-12	0.00882421471350207	1	YAL009W
YML057W	3.8457319557823e-10	0.00824727231233591	1	YAL009W
YMR036C	1.15115855868119e-12	0.00936857240795178	1	YAL009W
YMR104C	1.32364783390055e-12	0.00914762225357992	1	YAL009W
YMR139W	1.43645997917188e-08	0.00794406722033128	1	YAL009W
YMR216C	6.17064976011254e-09	0.00794113077887369	1	YAL009W
YMR291W	7.80083968564997e-10	0.0119759591465327	1	YAL009W
YNL020C	7.64060295579862e-10	0.0101896128286292	1	YAL009W
YNL025C	1.50540255754859e-11	0.00853712426152172	1	YAL009W
YNL032W	7.53660575149084e-13	0.00981967985831721	1	YAL009W
YNL053W	5.5701283421056e-11	0.00923872731209436	1	YAL009W
YNL056W	1.2885485156516e-11	0.00904224300314584	1	YAL009W
YNL099C	4.87828634149797e-11	0.00852547090718528	1	YAL009W
YNL154C	5.52415489423245e-05	0.00604839000370976	1	YAL009W
YNL183C	1.96872074215149e-10	0.00892572822198076	1	YAL009W
YNL201C	1.91102608452022e-11	0.00894791287424188	1	YAL009W
YNL289W	3.04574957894523e-12	0.00986852749429961	1	YAL009W
YNL298W	2.82135575721526e-14	0.0116316158801223	1	YAL009W
YNL307C	5.73468071332667e-10	0.00868359380590507	1	YAL009W
YNR031C	4.83765375990918e-13	0.0101075680534072	1	YAL009W
YNR032W	1.22476457870596e-13	0.00973582591391831	1	YAL009W
YNR047W	3.44180212613705e-13	0.0101847059377601	1	YAL009W
YOL001W	7.35413216463226e-11	0.00887162759070773	1	YAL009W
YOL016C	5.60431215078313e-06	0.00859046249920011	1	YAL009W
YOL045W	1.32103757757813e-10	0.00943733792137799	1	YAL009W
YOL100W	0.00203139717160281	0.0139033621952018	1	YAL009W
YOL113W	2.15725842731997e-11	0.00928021320978897	1	YAL009W
YOL128C	3.86881348563727e-09	0.0122531591947926	1	YAL009W
YOR014W	9.70675352996479e-12	0.00862270764672396	1	YAL009W
YOR039W	2.13683076611108e-09	0.00762608692126262	1	YAL009W
YOR061W	3.53235233956187e-14	0.0101638910493791	1	YAL009W
YOR090C	7.85230349908186e-12	0.00866576900956901	1	YAL009W
