TF	p.value	estimate	sign	KP
YJR094C	0.616053326202869	-0.000647574659059916	1	YAL017W
YJR127C	0.451184450973209	0.00016988663628153	-1	YAL017W
YJR140C	0.99148081128844	-0.00439600435926615	-1	YAL017W
YJR147W	0.883868618443408	-0.00202797555148249	-1	YAL017W
YKL005C	0.531625714449985	-0.00013614500530714	-1	YAL017W
YKL015W	1.69564971201284e-05	0.00798022082509434	-1	YAL017W
YKL020C	6.586854893642e-05	0.00344458913801731	-1	YAL017W
YKL032C	0.0133320413504341	0.00288993374072654	-1	YAL017W
YKL038W	0.0665175315770402	0.00306356044577357	-1	YAL017W
YKL043W	0.00260237262874927	0.00399928142744611	-1	YAL017W
YKL062W	0.000263402762323035	0.00346372636475375	1	YAL017W
YKL072W	0.565167520374075	-0.000339923110783119	-1	YAL017W
YKL109W	0.967445107380647	-0.00257875480340401	1	YAL017W
YKL112W	0.205684354763339	0.000938525420315052	-1	YAL017W
YKL185W	5.43439933969169e-07	0.00884001605091293	1	YAL017W
YKL222C	0.892376492956478	-0.00186546292861764	-1	YAL017W
YKR034W	0.998307717504081	-0.00492762777814906	-1	YAL017W
YKR064W	0.262679114952768	0.000940166878155235	1	YAL017W
YKR099W	0.739275946902591	-0.00102786874094593	-1	YAL017W
YLR013W	0.967364981902909	-0.00315854369410658	1	YAL017W
YLR014C	0.948232076576516	-0.00279750881437866	-1	YAL017W
YLR098C	0.971037992833001	-0.0027476603122381	-1	YAL017W
YLR131C	0.0390598103299056	0.00282776505490469	-1	YAL017W
YLR176C	0.0663921933920449	0.00197172210601038	-1	YAL017W
YLR182W	0.0349444007244086	0.00272155702422482	1	YAL017W
YLR183C	0.198688971702081	0.0011074885518029	-1	YAL017W
YLR228C	0.764587944021453	-0.00127872075312494	1	YAL017W
YLR256W	0.00036561202721822	0.00516617569826958	1	YAL017W
YLR266C	0.155525592643085	0.0438454466891548	1	YAL017W
YLR278C	0.293694718548073	0.00080680787065177	-1	YAL017W
YLR403W	0.414359967711579	0.000240552457529327	-1	YAL017W
YLR451W	0.594583378478439	-0.000278002138686102	-1	YAL017W
YML007W	0.00466849988329346	0.00337737638133774	1	YAL017W
YML027W	0.955762291997947	-0.00194410966612864	-1	YAL017W
YML051W	0.965280130022275	-0.00319481746854042	-1	YAL017W
YML076C	0.0386122485985875	0.00305531029629827	-1	YAL017W
YML081W	0.669714763123072	-0.000930555832168531	-1	YAL017W
YML099C	0.567431576529119	-0.000235430192393904	-1	YAL017W
YML113W	0.997069486725449	-0.00591843127680188	1	YAL017W
YMR016C	2.27572346563977e-05	0.00490657040269568	-1	YAL017W
YMR019W	0.841446789673528	-0.00162118932609502	1	YAL017W
YMR021C	0.704489930971237	-0.000917456378104659	-1	YAL017W
YMR037C	7.50792012025527e-09	0.00509522245894675	1	YAL017W
YMR042W	0.0642518016068592	0.00282797926548251	-1	YAL017W
YMR043W	0.0908847900674653	0.00184956741206876	-1	YAL017W
YMR053C	0.992245909017301	-0.00398476449871685	1	YAL017W
YMR070W	0.527662037660291	-6.28887171343586e-05	1	YAL017W
YMR075W	0.663402266024299	-0.000936178741967194	-1	YAL017W
YMR164C	0.139398223839219	0.00192481007559811	-1	YAL017W
YMR172W	0.0144056151619947	0.0100201026321422	1	YAL017W
YMR182C	0.975542395290458	-0.0032680886835008	1	YAL017W
YMR280C	0.0689851214243566	0.00784319336318768	1	YAL017W
YNL027W	0.00105781456537437	0.00654400728544345	1	YAL017W
YNL068C	0.0391315820769892	0.00154532610306317	1	YAL017W
YNL139C	0.546740321077205	-0.000189161080114012	-1	YAL017W
YNL167C	6.36680260947483e-07	0.00717264695057122	-1	YAL017W
YNL199C	0.59726823077407	-0.000353367893607892	-1	YAL017W
YNL216W	0.00909814854277994	0.00218990901574126	-1	YAL017W
YNL257C	0.856012830865927	-0.00222763632231715	-1	YAL017W
YNL309W	0.760358152781369	-0.00126765541998231	1	YAL017W
YNL314W	0.052044765345537	0.00247709504586671	-1	YAL017W
YNR063W	0.581609288207302	-0.000254668430367283	-1	YAL017W
YOL028C	0.0308842211728506	0.00269316733074006	1	YAL017W
YOL067C	0.917493297680903	-0.00200331128282208	1	YAL017W
YOL089C	0.999208755826344	-0.00560913449670066	1	YAL017W
YOL108C	7.97774782283739e-08	0.00565276828829636	-1	YAL017W
YOL116W	0.359304947971832	0.000732311148956266	-1	YAL017W
YOR028C	7.1020764075411e-05	0.00422623474833092	1	YAL017W
YOR032C	0.800534933025967	-0.001663148105858	-1	YAL017W
YOR038C	0.239753882524912	0.00163362768270811	-1	YAL017W
YOR113W	0.00457533592623841	0.00486582115638594	-1	YAL017W
YOR140W	0.0501007149122226	0.00280777025466966	-1	YAL017W
YOR162C	0.663007631337948	-0.000396441002645872	-1	YAL017W
YOR229W	0.675814975600818	-0.00112728116769837	-1	YAL017W
YOR230W	0.968517879833118	-0.00483354212515136	-1	YAL017W
YOR337W	0.214645542559878	0.00473542542667963	1	YAL017W
YOR344C	0.718754765990297	-0.000824630874221979	-1	YAL017W
YOR358W	0.234910619011373	0.00117565836183834	1	YAL017W
YOR363C	0.124498753823221	0.00166081373450606	1	YAL017W
YOR380W	0.58728925893678	-0.000322522239714313	-1	YAL017W
YPL038W	0.92325176673729	-0.00237744259220259	-1	YAL017W
YPL049C	0.417871463938161	0.000220834882297609	-1	YAL017W
YPL075W	0.840873890685321	-0.00178294309208458	-1	YAL017W
YPL089C	0.416219909153804	0.000387598917687289	-1	YAL017W
YPL133C	1.46906952691794e-06	0.0143885146908626	1	YAL017W
YPL139C	0.973223006447309	-0.00280208094052469	1	YAL017W
YPL177C	0.288465259380257	0.0010245046414334	-1	YAL017W
YPL202C	0.509320767053267	-8.4171614736204e-05	-1	YAL017W
YPL230W	0.351485121032549	0.000684924333865489	-1	YAL017W
YPL248C	0.997237635020357	-0.00425168915157676	1	YAL017W
YPR008W	0.579727714130818	-0.000540618990788192	1	YAL017W
YPR009W	0.284689029273016	0.00179647185768288	1	YAL017W
YPR022C	0.352559373492641	0.000540579768421583	-1	YAL017W
YPR065W	0.0141494750373471	0.00344983728805988	1	YAL017W
YPR196W	0.534102417344694	-6.58508849376907e-05	1	YAL017W
YPR199C	0.901425821972831	-0.0026186101177175	-1	YAL017W
YAL051W	8.85854968693116e-06	0.010538007664824	-1	YAR018C
YBL005W	0.83094431002767	-0.00291108314769562	-1	YAR018C
YBL008W	0.64673399416253	-0.00113817986376378	1	YAR018C
YBL021C	0.208631184367055	0.00239156719263521	1	YAR018C
YBL054W	0.983628754064682	-0.00710929301681343	1	YAR018C
YBL103C	0.453100452545224	0.000141128413033369	-1	YAR018C
YBR033W	0.93596283509052	-0.00441245129796365	-1	YAR018C
