systematicName,geneSymbol,"ctk1-del vs. wt","ctk1-del vs. wt","cak1-del vs. wt","cak1-del vs. wt",
YBR089W,YBR089W,0.10899942,1,-0.027957348,1,
YBR090C,YBR090C,-0.41440285,0.003,-0.55553859,0.017,
YBR091C,MRS5,-0.089064761,1,-0.41589953,0,
YBR092C,PHO3,-0.16677147,1,0.66074611,0,
YBR093C,PHO5,-0.15087983,1,0.49534724,0,
YBR094W,PBY1,0.049407725,1,-0.37310862,0,
YBR095C,RXT2,0.14561225,1,-0.086950144,1,
YBR096W,YBR096W,0.098298272,1,0.42925709,0,
YBR097W,VPS15,0.10050676,1,-0.51899252,0,
YBR098W,MMS4,-0.032778261,1,-0.1361107,1,
YBR099C,YBR099C,0.34598673,0.878,-0.89159732,0,
YBR098W,MMS4,0.13153681,1,-0.17364799,1,
YBR101C,FES1,0.48748635,0,-0.2201671,1,
YBR102C,EXO84,-0.5114418,0.003,-0.033571009,1,
YBR103C-A,YBR103C-A,-0.06273848,1,-0.16423758,1,
YBR103W,SIF2,-0.09234171,1,-0.13660068,1,
YBR104W,YMC2,-0.22985769,1,-0.36281824,0.003,
YBR105C,VID24,-0.21270629,1,0.88604282,0,
YBR106W,PHO88,-0.22238208,1,-0.2276177,0.996,
YBR107C,IML3,-0.56432234,0,-0.25065796,0.633,
YBR108W,YBR108W,0.33951369,0.071,0.41733676,0.803,
YBR109C,CMD1,0.15933209,1,0.099874186,1,
YBR110W,ALG1,0.024844458,1,-0.0440668,1,
YBR111C,YSA1,-0.10028607,1,0.13707065,1,
YBR112C,CYC8,-0.50184515,1,-0.38222759,0,
YBR113W,YBR113W,-0.14681073,1,-0.17318268,1,
YBR114W,RAD16,0.55267217,0,-0.099540826,1,
YBR115C,LYS2,2.8450223,0,4.8626448,0,
YBR116C,YBR116C,0.69508516,0,1.7490665,0,
YBR117C,TKL2,0.1476714,1,0.36506539,0,
YBR118W,TEF2,-0.48461251,0,-0.24582911,0.11,
YBR119W,MUD1,0.47120827,0.771,0.027819322,1,
YBR120C,CBP6,-0.006096709,1,-0.13792081,1,
YBR121C,GRS1,-0.084445446,1,-0.52619231,0,
YBR122C,MRPL36,-0.34288138,0.967,0.035778727,1,
YBR123C,TFC1,-0.059660324,1,-0.057642393,1,
YBR124W,YBR124W,0.68060342,0,-0.07489381,1,
YBR125C,PTC4,0.070719049,1,0.049742276,1,
YBR126C,TPS1,0.50333856,0,0.43414514,0,
YBR127C,VMA2,-0.2380714,1,-0.13715112,1,
YBR128C,ATG14,-0.30208921,0.996,-0.045078615,1,
YBR129C,OPY1,-0.25692112,1,-0.5824796,0,
YBR130C,SHE3,-0.15858717,1,-0.23700663,0.285,
YBR131W,CCZ1,0.39897416,1,-0.33868638,0.003,
YBR132C,AGP2,0.66976154,0,0.63684963,0,
YBR133C,HSL7,-0.18709274,1,0.25380778,0.885,
YBR134W,YBR134W,0.022999797,1,-0.14444078,1,
YBR135W,CKS1,0.60984005,0,0.029544763,1,
YBR136W,MEC1,0.55308521,0,-0.34865113,0.022,
YBR137W,YBR137W,-0.43408897,0.003,0.43130203,0,
YBR138C,YBR138C,-0.67213791,0,-0.1768686,1,
YBR139W,YBR139W,-0.63353734,0.004,-0.08836977,1,
YBR140C,IRA1,0.42656534,0.678,-0.54563036,0,
