"List of kinase-kinase, phosphatase-phosphatase, and kinase-phosphatase pairs that share common substrates and for which the EMAP contained interaction scores.",,,,,
"For the sake of completion, known kinase and phosphatase regulators were also includedin this analysis.",,,,,
"Two kinases with one or more shared substrates",,,,,
"Kinase or regulator",,"Kinase or regulator",,Score,Relationship
YPL204W,HRR25,YNL154C,YCK2,-0.298206,"Shared substrate"
YPL204W,HRR25,YHR030C,SLT2,0.040657,"Shared substrate"
YPL204W,HRR25,YMR139W,RIM11,-0.632654,"Shared substrate"
YPL204W,HRR25,YJL164C,TPK1,0.12261,"Shared substrate"
YPL204W,HRR25,YKL166C,TPK3,0.065226,"Shared substrate"
YMR139W,RIM11,YHR135C,YCK1,0.17185,"Shared substrate"
YMR139W,RIM11,YNL154C,YCK2,0.093123,"Shared substrate"
YMR139W,RIM11,YOL128C,YGK3,-1.375534,"Shared substrate"
YMR139W,RIM11,YFL033C,RIM15,0.429457,"Shared substrate"
YMR001C,CDC5,YMR199W,CLN1,-0.984584,"Shared substrate"
YMR001C,CDC5,YPR119W,CLB2,-0.582436,"Shared substrate"
YMR001C,CDC5,YDL155W,CLB3,-0.221296,"Shared substrate"
YMR001C,CDC5,YAL040C,CLN3,0.722863,"Shared substrate"
YMR001C,CDC5,YPR120C,CLB5,0.638395,"Shared substrate"
YMR001C,CDC5,YNL298W,CLA4,-0.245698,"Shared substrate"
YMR001C,CDC5,YKL048C,ELM1,0.540437,"Shared substrate"
YMR001C,CDC5,YKL101W,HSL1,0.361041,"Shared substrate"
YMR001C,CDC5,YPL256C,CLN2,-2.457056,"Shared substrate"
YMR001C,CDC5,YOR233W,KIN4,0.525768,"Shared substrate"
YMR001C,CDC5,YJL106W,IME2,-0.686519,"Shared substrate"
YMR001C,CDC5,YGR109C,CLB6,0.273549,"Shared substrate"
YMR001C,CDC5,YLR210W,CLB4,-0.065385,"Shared substrate"
YBL105C,PKC1,YHR135C,YCK1,-0.544994,"Shared substrate"
YBL105C,PKC1,YOL128C,YGK3,-0.17753,"Shared substrate"
YBL105C,PKC1,YPL203W,TPK2,-0.068211,"Shared substrate"
YBL105C,PKC1,YJL164C,TPK1,-0.138276,"Shared substrate"
YBL105C,PKC1,YKL166C,TPK3,0.750305,"Shared substrate"
YNL289W,PCL1,YDL127W,PCL2,-0.148633,"Shared substrate"
YJL141C,YAK1,YOL128C,YGK3,0.181238,"Shared substrate"
YJL187C,SWE1,YGL019W,CKB1,0.442932,"Shared substrate"
YJL187C,SWE1,YOR039W,CKB2,0.061997,"Shared substrate"
YJL164C,TPK1,YHR135C,YCK1,-0.066131,"Shared substrate"
YJL164C,TPK1,YOL128C,YGK3,0.310762,"Shared substrate"
YJL164C,TPK1,YPL203W,TPK2,-2.696966,"Shared substrate"
YJL164C,TPK1,YKL166C,TPK3,-2.905081,"Shared substrate"
YIL050W,PCL7,YGL134W,PCL10,0.437093,"Shared substrate"
YIL050W,PCL7,YPL219W,PCL8,1.099533,"Shared substrate"
YIL050W,PCL7,YDL179W,PCL9,-0.858561,"Shared substrate"
YPL219W,PCL8,YGL134W,PCL10,0.032263,"Shared substrate"
YOR061W,CKA2,YPL031C,PHO85,-0.814593,"Shared substrate"
YOR061W,CKA2,YHR135C,YCK1,0.711541,"Shared substrate"
YOR061W,CKA2,YNL154C,YCK2,-0.248668,"Shared substrate"
YOR061W,CKA2,YPR120C,CLB5,-1.867447,"Shared substrate"
YOR061W,CKA2,YPL256C,CLN2,-0.473196,"Shared substrate"
YOR061W,CKA2,YGL019W,CKB1,-6.983284,"Shared substrate"
YOR061W,CKA2,YBR135W,CKS1,-0.820668,"Shared substrate"
YOR061W,CKA2,YER123W,YCK3,1.306452,"Shared substrate"
YOR061W,CKA2,YLR113W,HOG1,0.309777,"Shared substrate"
YOR061W,CKA2,YPL203W,TPK2,0.420372,"Shared substrate"
YOR061W,CKA2,YJL106W,IME2,1.147532,"Shared substrate"
YOR061W,CKA2,YJL187C,SWE1,-0.189007,"Shared substrate"
YOR061W,CKA2,YJL164C,TPK1,-0.176724,"Shared substrate"
YOR061W,CKA2,YKL166C,TPK3,-0.249431,"Shared substrate"
YNL020C,ARK1,YIL095W,PRK1,-13.663581,"Shared substrate"
YPR161C,SGV1,YJL006C,CTK2,0.19613,"Shared substrate"
YPR161C,SGV1,YML112W,CTK3,-2.195112,"Shared substrate"
YBR059C,AKL1,YIL095W,PRK1,-0.565582,"Shared substrate"
YIL035C,CKA1,YPL031C,PHO85,0.314173,"Shared substrate"
YIL035C,CKA1,YHR135C,YCK1,0.087829,"Shared substrate"
YIL035C,CKA1,YNL154C,YCK2,-0.727487,"Shared substrate"
YIL035C,CKA1,YDR283C,GCN2,1.581281,"Shared substrate"
YIL035C,CKA1,YPR120C,CLB5,-0.102046,"Shared substrate"
YIL035C,CKA1,YPL256C,CLN2,-0.029682,"Shared substrate"
YIL035C,CKA1,YGL019W,CKB1,-2.51163,"Shared substrate"
YIL035C,CKA1,YOR039W,CKB2,-3.756746,"Shared substrate"
YIL035C,CKA1,YBR135W,CKS1,-0.719287,"Shared substrate"
YIL035C,CKA1,YER123W,YCK3,0.390442,"Shared substrate"
YIL035C,CKA1,YLR113W,HOG1,-0.126495,"Shared substrate"
YIL035C,CKA1,YPL203W,TPK2,-0.407194,"Shared substrate"
YIL035C,CKA1,YJL106W,IME2,1.310038,"Shared substrate"
YIL035C,CKA1,YBL105C,PKC1,1.185604,"Shared substrate"
YIL035C,CKA1,YNL289W,PCL1,0.162771,"Shared substrate"
YIL035C,CKA1,YJL187C,SWE1,0.674623,"Shared substrate"
YIL035C,CKA1,YJL164C,TPK1,-0.331548,"Shared substrate"
YIL035C,CKA1,YOR061W,CKA2,-13.459296,"Shared substrate"
YIL035C,CKA1,YKL166C,TPK3,0.046398,"Shared substrate"
YBR136W,MEC1,YBL088C,TEL1,0.830114,"Shared substrate"
YBR136W,MEC1,YPL203W,TPK2,-1.028985,"Shared substrate"
YBR136W,MEC1,YJL164C,TPK1,0.10374,"Shared substrate"
YBR136W,MEC1,YKL166C,TPK3,0.484214,"Shared substrate"
YDL017W,CDC7,YBL088C,TEL1,-0.527328,"Shared substrate"
YDL017W,CDC7,YPR119W,CLB2,-1.14314,"Shared substrate"
YDL017W,CDC7,YPR120C,CLB5,2.176514,"Shared substrate"
YDL017W,CDC7,YJL106W,IME2,-0.303718,"Shared substrate"
YDL108W,KIN28,YJL006C,CTK2,-2.845411,"Shared substrate"
YDL108W,KIN28,YML112W,CTK3,0.40002,"Shared substrate"
YDL108W,KIN28,YPL042C,SSN3,0.426237,"Shared substrate"
YGR109C,CLB6,YAL040C,CLN3,0.510397,"Shared substrate"
YDL079C,MRK1,YOL128C,YGK3,1.185135,"Shared substrate"
YDL079C,MRK1,YMR139W,RIM11,-0.937238,"Shared substrate"
YDL079C,MRK1,YFL033C,RIM15,-0.091732,"Shared substrate"
YOR231W,MKK1,YOL128C,YGK3,-0.226894,"Shared substrate"
YOR231W,MKK1,YJL128C,PBS2,0.574765,"Shared substrate"
YOR231W,MKK1,YPL140C,MKK2,-13.856268,"Shared substrate"
YOR231W,MKK1,YBL105C,PKC1,-0.274111,"Shared substrate"
YOL078W,AVO1,YMR068W,AVO2,0.070356,"Shared substrate"
YOL078W,AVO1,YJL058C,BIT61,-0.156088,"Shared substrate"
YPL042C,SSN3,YER027C,GAL83,0.473466,"Shared substrate"
YPL042C,SSN3,YPL203W,TPK2,-0.322594,"Shared substrate"
YPL042C,SSN3,YNL289W,PCL1,0.693757,"Shared substrate"
YPL042C,SSN3,YJL164C,TPK1,-2.822912,"Shared substrate"
YPL042C,SSN3,YHR071W,PCL5,0.478697,"Shared substrate"
YPL042C,SSN3,YKL166C,TPK3,0.785536,"Shared substrate"
YER093C,TSC11,YJL058C,BIT61,-0.173645,"Shared substrate"
YLR210W,CLB4,YAL040C,CLN3,1.219942,"Shared substrate"
YLR210W,CLB4,YPR120C,CLB5,-0.90352,"Shared substrate"
YLR210W,CLB4,YGR109C,CLB6,0.373891,"Shared substrate"
YKL203C,TOR2,YMR068W,AVO2,-0.124617,"Shared substrate"
YKL203C,TOR2,YJL058C,BIT61,-0.631795,"Shared substrate"
YPL209C,IPL1,YDR477W,SNF1,0.22951,"Shared substrate"
YPL153C,RAD53,YBL088C,TEL1,0.605436,"Shared substrate"
YPL153C,RAD53,YHR030C,SLT2,0.153541,"Shared substrate"
"Two phosphataseses with one or more shared substrates",,,,,
"Phosphatase or regulator",,"Phosphatase or regulator",,Score,Relationship
"ORF name","Gene name","ORF name","Gene name",,
YDL188C,PPH22,YMR036C,MIH1,-0.983823,"Shared substrate"
YDL188C,PPH22,YER089C,PTC2,-1.197226,"Shared substrate"
YDL188C,PPH22,YGL190C,CDC55,-0.469916,"Shared substrate"
YDL188C,PPH22,YOR014W,RTS1,0.388331,"Shared substrate"
YDL188C,PPH22,YBL056W,PTC3,-0.309421,"Shared substrate"
YDL188C,PPH22,YOR090C,PTC5,1.080748,"Shared substrate"
YBR125C,PTC4,YKL190W,CNB1,-1.165212,"Shared substrate"
YBR125C,PTC4,YOR208W,PTP2,0.373967,"Shared substrate"
YBR125C,PTC4,YER075C,PTP3,-0.479312,"Shared substrate"
YML016C,PPZ1,YOR208W,PTP2,-0.978831,"Shared substrate"
