P	Target	Mode
YBR160W	YDR436W	kinase
YPR119W	YDR436W	kinase
YDR477W	YEL060C	kinase
YNL099C	YML092C	phosphatase
YBR136W	YLL036C	kinase
YBL088C	YLL036C	kinase
YKL116C	YKL116C	kinase
YLL010C	YKL116C	phosphatase
YBR160W	YMR137C	kinase
YBR160W	YML017W	kinase
YBR160W	YBL046W	kinase
YBR136W	YBL046W	kinase
YBL088C	YBL046W	kinase
YPR119W	YBL046W	kinase
YIL035C	YER089C	kinase
YOR061W	YER089C	kinase
YGL019W	YER089C	kinase
YOR039W	YER089C	kinase
YBR160W	YJR059W	kinase
YPR119W	YJR059W	kinase
YJR059W	YJR059W	kinase
YKL166C	YKL039W	kinase
YBR160W	YER075C	kinase
YNL154C	YFR029W	kinase
YHR135C	YFR029W	kinase
YDL134C	YFR029W	phosphatase
YDL188C	YFR029W	phosphatase
YOR014W	YFR029W	phosphatase
YNL099C	YLL013C	phosphatase
YIL035C	YDR496C	kinase
YOR061W	YDR496C	kinase
YGL019W	YDR496C	kinase
YOR039W	YDR496C	kinase
YBR160W	YGR253C	kinase
YBR136W	YCR057C	kinase
YBL088C	YCR057C	kinase
YBL088C	YKR090W	kinase
YJL164C	YOR347C	kinase
YLR240W	YIL121W	kinase
YBR136W	YOR368W	kinase
YBL088C	YOR368W	kinase
YBR136W	YEL037C	kinase
YBL088C	YEL037C	kinase
YBR136W	YJR035W	kinase
YPL153C	YKL113C	kinase
YPL153C	YPL153C	kinase
