P	Target
YOL100W	YGR078C
YOL100W	YGR167W
YOL100W	YHL009C
YOL100W	YHL024W
YOL100W	YHR205W
YOL100W	YIL104C
YOL100W	YJL138C
YOL100W	YJR006W
YOL100W	YJR070C
YOL100W	YJR092W
YOL100W	YJR097W
YOL100W	YJR112W
YOL100W	YKL002W
YOL100W	YKL181W
YOL100W	YLL008W
YOL100W	YLR060W
YOL100W	YLR258W
YOL100W	YML001W
YOL100W	YML034W
YOL100W	YMR041C
YOL100W	YMR048W
YOL100W	YNL027W
YOL100W	YOL082W
YOL100W	YOR117W
YOL100W	YOR260W
YOL100W	YPL004C
YOL100W	YPL077C
YOL100W	YPL133C
YOL100W	YPR083W
YOL113W	YBR177C
YOL113W	YBR252W
YOL113W	YEL029C
YOL113W	YGR200C
YOL113W	YJR025C
YOL113W	YJR082C
YOL113W	YKL211C
YOL113W	YKR047W
YOL113W	YNR046W
YOL128C	YBL058W
YOL128C	YER009W
YOL128C	YER087W
YOL128C	YER174C
YOL128C	YJR047C
YOL128C	YJR109C
YOL128C	YKL181W
YOL128C	YLR258W
YOL128C	YMR041C
YOL128C	YMR139W
YOL128C	YNL027W
YOL128C	YPL201C
YOR119C	YBR176W
YOR119C	YDR257C
YOR119C	YFR034C
YOR119C	YGL137W
YOR119C	YIL070C
YOR119C	YKR021W
YOR119C	YMR165C
YOR119C	YMR260C
YOR119C	YOR198C
YOR119C	YPL146C
YOR119C	YPR036W
YOR119C	YPR082C
YOR231W	YDR087C
YOR231W	YDR203W
YOR231W	YDR374C
YOR231W	YER139C
YOR231W	YFL010C
YOR231W	YFL023W
YOR231W	YGR021W
YOR231W	YGR167W
YOR231W	YJR062C
YOR231W	YJR092W
YOR231W	YKL181W
YOR231W	YLL008W
YOR231W	YLR060W
YOR231W	YLR287C
YOR231W	YNL052W
YOR231W	YOL082W
YOR231W	YPL201C
YOR351C	YBL050W
YOR351C	YDL103C
YOR351C	YDR256C
YOR351C	YFL010C
YOR351C	YFL023W
YOR351C	YGL017W
