P	Target	Relationship
YBR160W	YML059C	kinase
YBR160W	YML064C	kinase
YBR160W	YML065W	kinase
YBR160W	YML072C	kinase
YBR160W	YML076C	kinase
YBR160W	YML100W	kinase
YBR160W	YML123C	kinase
YBR160W	YMR001C	kinase
YBR160W	YMR005W	kinase
YBR160W	YMR032W	kinase
YBR160W	YMR036C	kinase
YBR160W	YMR068W	kinase
YBR160W	YMR086W	kinase
YBR160W	YMR124W	kinase
YBR160W	YMR137C	kinase
YBR160W	YMR153W	kinase
YBR160W	YMR165C	kinase
YBR160W	YMR192W	kinase
YBR160W	YMR196W	kinase
YBR160W	YMR199W	kinase
YBR160W	YMR219W	kinase
YBR160W	YMR233W	kinase
YBR160W	YMR255W	kinase
YBR160W	YMR261C	kinase
YBR160W	YMR291W	kinase
YBR160W	YNL042W	kinase
YBR160W	YNL047C	kinase
YBR160W	YNL054W	kinase
YBR160W	YNL058C	kinase
YBR160W	YNL068C	kinase
YBR160W	YNL074C	kinase
YBR160W	YNL088W	kinase
YBR160W	YNL102W	kinase
YBR160W	YNL106C	kinase
YBR160W	YNL161W	kinase
YBR160W	YNL167C	kinase
YBR160W	YNL224C	kinase
YBR160W	YNL225C	kinase
YBR160W	YNL230C	kinase
YBR160W	YNL233W	kinase
YBR160W	YNL243W	kinase
YBR160W	YNL278W	kinase
YBR160W	YNL289W	kinase
YBR160W	YNL298W	kinase
YBR160W	YNL309W	kinase
YBR160W	YNL321W	kinase
YBR160W	YNR009W	kinase
YBR160W	YNR031C	kinase
YBR160W	YNR039C	kinase
YBR160W	YNR047W	kinase
YBR160W	YOL004W	kinase
YBR160W	YOL070C	kinase
YBR160W	YOL100W	kinase
YBR160W	YOL123W	kinase
YBR160W	YOL130W	kinase
YBR160W	YOR001W	kinase
YBR160W	YOR014W	kinase
YBR160W	YOR042W	kinase
YBR160W	YOR054C	kinase
YBR160W	YOR056C	kinase
YBR160W	YOR057W	kinase
YBR160W	YOR058C	kinase
YBR160W	YOR066W	kinase
YBR160W	YOR070C	kinase
YBR160W	YOR083W	kinase
YBR160W	YOR098C	kinase
YBR160W	YOR109W	kinase
YBR160W	YOR127W	kinase
YBR160W	YOR178C	kinase
YBR160W	YOR195W	kinase
YBR160W	YOR198C	kinase
YBR160W	YOR217W	kinase
YBR160W	YOR227W	kinase
YBR160W	YOR233W	kinase
