cancel	mean_k	vec	norm	lam	λB	λW	AUC_T	AUC_P	AUC_Tpos	AUC_Tneg	AUC_Ppos	AUC_Pneg	AUC_sum
true	false	true	1	1	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.8571428571428571	5.2976190476190474
false	true	false	1	1	0.1	0.0	1.0	0.75	1.0	1.0	0.7142857142857143	1.0	5.464285714285714
true	true	false	1	1	0.1	0.0	0.9500000000000001	0.5833333333333334	1.0	1.0	0.8571428571428571	0.4285714285714286	4.819047619047619
false	false	false	1	1	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	0.8571428571428571	5.2976190476190474
true	false	false	1	1	0.1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
false	true	true	2	1	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.690476190476191
true	true	true	2	1	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.5714285714285714	5.238095238095238
false	false	true	2	1	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
true	false	true	2	1	0.1	0.0	1.0	0.4166666666666667	1.0	1.0	0.8571428571428571	0.5714285714285714	4.845238095238095
false	true	false	2	1	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.0	0.7142857142857143	4.2976190476190474
true	true	false	2	1	0.1	0.0	0.85	0.6666666666666667	0.9090909090909091	1.0	1.0	0.1428571428571429	4.568614718614718
false	false	false	2	1	0.1	0.0	1.0	0.5833333333333334	1.0	1.0	0.8571428571428571	1.0	5.440476190476191
true	false	false	2	1	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	0.8571428571428571	1.0	5.690476190476191
false	true	true	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	true	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	true	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	true	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	false	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	false	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	false	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	false	0	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	true	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	true	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	true	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	true	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	false	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	false	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	false	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	false	1	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	true	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	true	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	true	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	true	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	false	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	true	false	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	false	false	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
true	false	false	2	2	0.1	0.0	NaN	NaN	NaN	NaN	NaN	NaN	(error)
false	true	true	0	3	0.1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
true	true	true	0	3	0.1	0.0	0.9500000000000001	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.330952380952381
false	false	true	0	3	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.5714285714285714	5.238095238095238
true	false	true	0	3	0.1	0.0	1.0	0.9166666666666666	1.0	1.0	0.8571428571428571	1.0	5.773809523809524
false	true	false	0	3	0.1	0.0	1.0	0.4166666666666667	1.0	1.0	0.8571428571428571	0.5714285714285714	4.845238095238095
true	true	false	0	3	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.8571428571428571	5.523809523809524
false	false	false	0	3	0.1	0.0	0.85	0.6666666666666667	1.0	0.8181818181818181	0.0	0.7142857142857143	4.049134199134199
true	false	false	0	3	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
false	true	true	1	3	0.1	0.0	0.9500000000000001	0.5833333333333334	1.0	1.0	0.4285714285714286	0.8571428571428571	4.81904761904762
true	true	true	1	3	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	0.8571428571428571	5.3809523809523805
false	false	true	1	3	0.1	0.0	0.85	0.4166666666666667	1.0	0.8181818181818181	0.0	0.5714285714285714	3.656277056277056
true	false	true	1	3	0.1	0.0	0.9500000000000001	0.5	1.0	0.9090909090909091	0.8571428571428571	0.5714285714285714	4.787662337662338
false	true	false	1	3	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
true	true	false	1	3	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
false	false	false	1	3	0.1	0.0	1.0	0.9166666666666666	1.0	1.0	0.8571428571428571	1.0	5.773809523809524
true	false	false	1	3	0.1	0.0	0.9500000000000001	0.75	1.0	1.0	1.0	0.2857142857142857	4.985714285714286
false	true	true	2	3	0.1	0.0	1.0	0.5	1.0	1.0	0.0	0.8571428571428571	4.357142857142858
true	true	true	2	3	0.1	0.0	0.9500000000000001	0.8333333333333334	1.0	0.9090909090909091	0.2857142857142857	1.0	4.978138528138529
false	false	true	2	3	0.1	0.0	1.0	0.5	1.0	1.0	0.1428571428571429	1.0	4.642857142857142
true	false	true	2	3	0.1	0.0	0.9500000000000001	0.6666666666666667	1.0	1.0	1.0	0.5714285714285714	5.188095238095238
false	true	false	2	3	0.1	0.0	1.0	0.75	1.0	1.0	1.0	0.8571428571428571	5.607142857142857
true	true	false	2	3	0.1	0.0	0.9500000000000001	1.0	0.09090909090909094	1.0	1.0	0.1428571428571429	4.183766233766233
false	false	false	2	3	0.1	0.0	0.9500000000000001	0.5	1.0	0.9090909090909091	0.4285714285714286	0.1428571428571429	3.930519480519481
true	false	false	2	3	0.1	0.0	1.0	0.75	1.0	1.0	1.0	0.8571428571428571	5.607142857142857
false	true	true	0	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.8571428571428571	5.523809523809524
true	true	true	0	4	0.1	0.0	1.0	0.75	1.0	1.0	1.0	0.8571428571428571	5.607142857142857
false	false	true	0	4	0.1	0.0	0.9500000000000001	1.0	1.0	1.0	1.0	0.1428571428571429	5.092857142857143
true	false	true	0	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.7142857142857143	1.0	5.380952380952381
false	true	false	0	4	0.1	0.0	1.0	0.5	1.0	1.0	1.0	0.5714285714285714	5.071428571428571
true	true	false	0	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.4285714285714286	5.095238095238096
false	false	false	0	4	0.1	0.0	0.9	0.6666666666666667	0.0	0.8181818181818181	0.0	0.2857142857142857	2.6705627705627704
true	false	false	0	4	0.1	0.0	0.9500000000000001	0.6666666666666667	1.0	1.0	0.2857142857142857	1.0	4.902380952380952
false	true	true	1	4	0.1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	6
true	true	true	1	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	0.8571428571428571	5.3809523809523805
false	false	true	1	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	1.0	5.666666666666667
true	false	true	1	4	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	0.2857142857142857	0.8571428571428571	4.976190476190476
false	true	false	1	4	0.1	0.0	1.0	0.5	1.0	1.0	0.8571428571428571	0.4285714285714286	4.785714285714286
true	true	false	1	4	0.1	0.0	0.9500000000000001	0.9166666666666666	0.9090909090909091	1.0	1.0	0.8571428571428571	5.632900432900433
false	false	false	1	4	0.1	0.0	0.9500000000000001	0.33333333333333337	1.0	1.0	0.8571428571428571	0.2857142857142857	4.426190476190476
true	false	false	1	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.8571428571428571	1.0	5.523809523809524
false	true	true	2	4	0.1	0.0	1.0	0.75	1.0	1.0	0.7142857142857143	1.0	5.464285714285714
true	true	true	2	4	0.1	0.0	0.9500000000000001	0.75	1.0	1.0	0.8571428571428571	1.0	5.557142857142857
false	false	true	2	4	0.1	0.0	1.0	0.75	1.0	1.0	0.0	0.7142857142857143	4.464285714285714
true	false	true	2	4	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	0.8571428571428571	1.0	5.690476190476191
false	true	false	2	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	0.0	0.8571428571428571	4.523809523809524
true	true	false	2	4	0.1	0.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.8571428571428571	5.690476190476191
false	false	false	2	4	0.1	0.0	1.0	0.75	1.0	1.0	0.4285714285714286	0.8571428571428571	5.035714285714286
true	false	false	2	4	0.1	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.7142857142857143	5.380952380952381
false	true	true	0	0	0.5	0.0	1.0	0.8333333333333334	1.0	1.0	0.8571428571428571	1.0	5.690476190476191
true	true	true	0	0	0.5	0.0	1.0	0.4166666666666667	1.0	1.0	0.7142857142857143	0.5714285714285714	4.7023809523809526
false	false	true	0	0	0.5	0.0	0.9500000000000001	1.0	1.0	0.9090909090909091	1.0	1.0	5.859090909090909
true	false	true	0	0	0.5	0.0	0.9500000000000001	0.5833333333333334	1.0	1.0	0.4285714285714286	0.8571428571428571	4.81904761904762
false	true	false	0	0	0.5	0.0	0.9500000000000001	0.5	1.0	0.9090909090909091	0.2857142857142857	0.5714285714285714	4.216233766233766
true	true	false	0	0	0.5	0.0	1.0	0.6666666666666667	1.0	1.0	1.0	0.2857142857142857	4.9523809523809526
false	false	false	0	0	0.5	0.0	1.0	0.5833333333333334	1.0	1.0	0.2857142857142857	0.0	3.869047619047619
true	false	false	0	0	0.5	0.0	1.0	0.4166666666666667	1.0	1.0	0.8571428571428571	0.2857142857142857	4.559523809523809
false	true	true	1	0	0.5	0.0	1.0	0.75	1.0	1.0	0.8571428571428571	0.8571428571428571	5.464285714285714
true	true	true	1	0	0.5	0.0	1.0	1.0	1.0	1.0	0.1428571428571429	1.0	5.142857142857142
