"SUID","interaction","name","selected","shared interaction","shared name","WP","WT"
"283019","T","YAL051W (T) YGL237C","false","T","YAL051W (T) YGL237C",,"1.0"
"283020","T","YAL051W (T) YDR256C","false","T","YAL051W (T) YDR256C",,"1.0"
"283021","T","YAL051W (T) YHR096C","false","T","YAL051W (T) YHR096C",,"3.0"
"283022","T","YAL051W (T) YGR161C","false","T","YAL051W (T) YGR161C",,"2.0"
"283023","T","YAL051W (T) YOR273C","false","T","YAL051W (T) YOR273C",,"2.0"
"283024","T","YAL051W (T) YIL160C","false","T","YAL051W (T) YIL160C",,"2.0"
"283025","T","YAL051W (T) YMR017W","false","T","YAL051W (T) YMR017W",,"3.0"
"283026","T","YAL051W (T) YMR018W","false","T","YAL051W (T) YMR018W",,"2.0"
"283027","T","YAL051W (T) YOL126C","false","T","YAL051W (T) YOL126C",,"3.0"
"283028","T","YAL051W (T) YBR126C","false","T","YAL051W (T) YBR126C",,"2.0"
"283029","T","YAL051W (T) YHL027W","false","T","YAL051W (T) YHL027W",,"2.0"
"283030","T","YAL051W (T) YBR127C","false","T","YAL051W (T) YBR127C",,"1.0"
"283031","T","YAL051W (T) YKL146W","false","T","YAL051W (T) YKL146W",,"1.0"
"283032","T","YAL051W (T) YEL011W","false","T","YAL051W (T) YEL011W",,"3.0"
"283033","T","YAL051W (T) YKL148C","false","T","YAL051W (T) YKL148C",,"1.0"
"283034","T","YAL051W (T) YGL143C","false","T","YAL051W (T) YGL143C",,"1.0"
"283035","T","YAL051W (T) YMR303C","false","T","YAL051W (T) YMR303C",,"3.0"
"283036","T","YAL051W (T) YJR019C","false","T","YAL051W (T) YJR019C",,"2.0"
"283037","T","YAL051W (T) YBR135W","false","T","YAL051W (T) YBR135W",,"2.0"
"283038","T","YAL051W (T) YHR115C","false","T","YAL051W (T) YHR115C",,"1.0"
"283039","T","YAL051W (T) YHR117W","false","T","YAL051W (T) YHR117W",,"2.0"
"283040","T","YAL051W (T) YOL147C","false","T","YAL051W (T) YOL147C",,"2.0"
"283041","T","YAL051W (T) YGR109C","false","T","YAL051W (T) YGR109C",,"1.0"
"283042","T","YAL051W (T) YGR188C","false","T","YAL051W (T) YGR188C",,"1.0"
"283043","T","YAL051W (T) YOR302W","false","T","YAL051W (T) YOR302W",,"3.0"
"283044","T","YAL051W (T) YBR150C","false","T","YAL051W (T) YBR150C",,"1.0"
"283045","T","YAL051W (T) YBR151W","false","T","YAL051W (T) YBR151W",,"1.0"
"283046","T","YAL051W (T) YMR316W","false","T","YAL051W (T) YMR316W",,"2.0"
"283047","T","YAL051W (T) YBR159W","false","T","YAL051W (T) YBR159W",,"2.0"
"283048","T","YAL051W (T) YCR081W","false","T","YAL051W (T) YCR081W",,"1.0"
"283049","T","YAL051W (T) YLR373C","false","T","YAL051W (T) YLR373C",,"1.0"
"283050","T","YAL051W (T) YOR317W","false","T","YAL051W (T) YOR317W",,"1.0"
"283051","T","YAL051W (T) YLR375W","false","T","YAL051W (T) YLR375W",,"1.0"
"283052","T","YAL051W (T) YLR176C","false","T","YAL051W (T) YLR176C",,"1.0"
"283053","T","YAL051W (T) YNL299W","false","T","YAL051W (T) YNL299W",,"1.0"
"283054","T","YAL051W (T) YLR089C","false","T","YAL051W (T) YLR089C",,"1.0"
"283055","T","YAL051W (T) YKL201C","false","T","YAL051W (T) YKL201C",,"2.0"
"283056","T","YAL051W (T) YLR090W","false","T","YAL051W (T) YLR090W",,"1.0"
"283057","T","YAL051W (T) YNL009W","false","T","YAL051W (T) YNL009W",,"2.0"
"283058","T","YAL051W (T) YJR069C","false","T","YAL051W (T) YJR069C",,"1.0"
"283059","T","YAL051W (T) YJR071W","false","T","YAL051W (T) YJR071W",,"2.0"
"283060","T","YAL051W (T) YML007W","false","T","YAL051W (T) YML007W",,"3.0"
"283061","T","YAL051W (T) YGL201C","false","T","YAL051W (T) YGL201C",,"1.0"
"283062","T","YAL051W (T) YGL205W","false","T","YAL051W (T) YGL205W",,"2.0"
"283063","T","YAL051W (T) YEL060C","false","T","YAL051W (T) YEL060C",,"1.0"
"283064","T","YAL051W (T) YOR342C","false","T","YAL051W (T) YOR342C",,"2.0"
"283065","T","YAL051W (T) YPL262W","false","T","YAL051W (T) YPL262W",,"1.0"
"283066","T","YAL051W (T) YNL321W","false","T","YAL051W (T) YNL321W",,"1.0"
"283067","T","YAL051W (T) YPL263C","false","T","YAL051W (T) YPL263C",,"1.0"
"283068","T","YAL051W (T) YNL322C","false","T","YAL051W (T) YNL322C",,"1.0"
"283069","T","YAL051W (T) YDR048C","false","T","YAL051W (T) YDR048C",,"1.0"
"283070","T","YAL051W (T) YMR043W","false","T","YAL051W (T) YMR043W",,"1.0"
"283071","T","YAL051W (T) YBR187W","false","T","YAL051W (T) YBR187W",,"1.0"
"283072","T","YAL051W (T) YOR042W","false","T","YAL051W (T) YOR042W",,"1.0"
"283073","T","YAL051W (T) YOR348C","false","T","YAL051W (T) YOR348C",,"3.0"
"283074","T","YAL051W (T) YOR049C","false","T","YAL051W (T) YOR049C",,"2.0"
"283075","T","YAL051W (T) YMR102C","false","T","YAL051W (T) YMR102C",,"2.0"
"283076","T","YAL051W (T) YKR009C","false","T","YAL051W (T) YKR009C",,"2.0"
"283077","T","YAL051W (T) YGL235W","false","T","YAL051W (T) YGL235W",,"1.0"
